iter	Logloss
0	0.6163974666
1	0.5502056775
2	0.4954334561
3	0.460649442
4	0.4319099767
5	0.4108670815
6	0.3911802277
7	0.3769175674
8	0.3648942008
9	0.3564319872
10	0.3459654005
11	0.3397121449
12	0.3317666333
13	0.3263650151
14	0.3220847697
15	0.3183998887
16	0.3147185562
17	0.3121798724
18	0.3100911344
19	0.3069352022
20	0.3022791822
21	0.3006354592
22	0.2978293441
23	0.2964562486
24	0.2945177302
25	0.292730251
26	0.2913688024
27	0.2904345794
28	0.2886099118
29	0.2872260972
30	0.2859157888
31	0.2850576579
32	0.2842100554
33	0.2831192224
34	0.2823577276
35	0.2817415741
36	0.2812148414
37	0.2806714519
38	0.2799510963
39	0.279143172
40	0.2787200667
41	0.2779671047
42	0.2773614287
43	0.2769539898
44	0.2764854527
45	0.2756919081
46	0.2747952016
47	0.2744230265
48	0.2740603065
49	0.273819162
50	0.2734020417
51	0.2729983688
52	0.2726650748
53	0.2724462294
54	0.272199761
55	0.2719981524
56	0.2717652381
57	0.2714984075
58	0.2713710491
59	0.2712330368
60	0.2708435308
61	0.2705911839
62	0.270220293
63	0.2701069266
64	0.2699219426
65	0.2697974194
66	0.269692619
67	0.2695798018
68	0.2694582362
69	0.2691251562
70	0.2689908638
71	0.2689025498
72	0.268819963
73	0.2686918103
74	0.2685075729
75	0.2684115275
76	0.268303665
77	0.2682078073
78	0.2680659594
79	0.2679524966
80	0.2678422478
81	0.2677364497
82	0.2676512819
83	0.2675716617
84	0.267515828
85	0.2674365607
86	0.2673696464
87	0.267297063
88	0.2672259951
89	0.2671314986
90	0.2670490064
91	0.2666628713
92	0.2665860018
93	0.2664949053
94	0.26644909
95	0.2664070965
96	0.2663439076
97	0.2662914554
98	0.2662444616
99	0.266190018
100	0.265975602
101	0.2659285128
102	0.2658339907
103	0.2657536658
104	0.2657020293
105	0.2656566625
106	0.265617443
107	0.2655602043
108	0.2655197604
109	0.265481948
110	0.2654156656
111	0.2653698122
112	0.2652169542
113	0.265135412
114	0.2650871574
115	0.2650359494
116	0.2649936034
117	0.2649382022
118	0.2648873401
119	0.2648374764
120	0.2647912934
121	0.2647566486
122	0.264732609
123	0.2647049763
124	0.2646634876
125	0.2646248109
126	0.2646071599
127	0.2645635828
128	0.2645238188
129	0.2642535385
130	0.2642291166
131	0.2641070726
132	0.2640532827
133	0.2640257898
134	0.2639692685
135	0.2639446205
136	0.2639105587
137	0.2638875598
138	0.2638546667
139	0.2638234507
140	0.2637129635
141	0.2636824831
142	0.2636510837
143	0.2635920198
144	0.2635563906
145	0.2635234822
146	0.2634681258
147	0.2634294221
148	0.2634038827
149	0.2633747624
150	0.2633449332
151	0.2632967291
152	0.2632739964
153	0.2632456996
154	0.2632131011
155	0.263174892
156	0.263147252
157	0.2630999769
158	0.2630318009
159	0.2629988816
160	0.2628144256
161	0.2627750089
162	0.2627268478
163	0.2626948181
164	0.2626564342
165	0.2626106875
166	0.2625435819
167	0.2624982857
168	0.262463849
169	0.2624210017
170	0.2623875084
171	0.2623514072
172	0.2623106697
173	0.2622745554
174	0.2622419561
175	0.2622046601
176	0.2621750825
177	0.2621080666
178	0.2620838394
179	0.2620403007
180	0.2620135357
181	0.2619768674
182	0.2619394324
183	0.261907339
184	0.2618781311
185	0.2618510342
186	0.2618178819
187	0.2617862309
188	0.261756695
189	0.2617236674
190	0.2616883056
191	0.2616468428
192	0.261614806
193	0.2615848205
194	0.2615483343
195	0.2615238836
196	0.2614883458
197	0.2614593384
198	0.2614250863
199	0.2613958474
200	0.2613649394
201	0.2613349536
202	0.2613089364
203	0.261283768
204	0.2612564521
205	0.26122671
206	0.2612046497
207	0.2611429772
208	0.2611120294
209	0.2610887653
210	0.2610679589
211	0.2610417667
212	0.2610077044
213	0.2609819966
214	0.2609545482
215	0.2609284049
216	0.2609057018
217	0.2608794486
218	0.2607531857
219	0.260725404
220	0.2607025804
221	0.2606736531
222	0.2606482811
223	0.2606225049
224	0.2605919148
225	0.2605697845
226	0.2605455548
227	0.2605074417
228	0.2604806242
229	0.2604567011
230	0.2604387499
231	0.260410136
232	0.2603795796
233	0.2603516294
234	0.2603256334
235	0.2603051782
236	0.2602798083
237	0.2602570479
238	0.2602357345
239	0.2602019528
240	0.260175608
241	0.2601544055
242	0.2601432497
243	0.2601143287
244	0.2600902025
245	0.260051735
246	0.2600100225
247	0.2599819501
248	0.2599608242
249	0.2599422134
250	0.2599188226
251	0.2599005336
252	0.2598695384
253	0.2598449891
254	0.2598283937
255	0.2597980482
256	0.2597765044
257	0.2597471511
258	0.2597164045
259	0.2596886713
260	0.2596636442
261	0.2596379705
262	0.2596116446
263	0.2595670604
264	0.2595449349
265	0.2595200199
266	0.2594945867
267	0.2594766434
268	0.2594457561
269	0.25942505
270	0.259410046
