iter	Passed	Remaining
0	203	168419
1	376	155856
2	492	135801
3	634	131124
4	759	125361
5	826	113568
6	868	102135
7	909	93489
8	960	87589
9	1072	87933
10	1177	87649
11	1271	86658
12	1314	82615
13	1352	78846
14	1390	75538
15	1425	72527
16	1469	70296
17	1524	68759
18	1564	66781
19	1619	65608
20	1667	64238
21	1764	64813
22	1863	65395
23	1951	65532
24	2024	65196
25	2074	64154
26	2120	63070
27	2182	62503
28	2229	61580
29	2302	61411
30	2382	61413
31	2431	60630
32	2488	60110
33	2546	59611
34	2631	59762
35	2674	58996
36	2751	58974
37	2811	58605
38	2867	58168
39	2936	58001
40	3020	58126
41	3072	57650
42	3149	57641
43	3241	57905
44	3338	58235
45	3418	58260
46	3515	58569
47	3565	58081
48	3640	58023
49	3701	57742
50	3742	57169
51	3789	56694
52	3836	56240
53	3893	55944
54	3967	55903
55	4037	55806
56	4107	55706
57	4157	55334
58	4212	55046
59	4254	54599
60	4310	54339
61	4391	54396
62	4485	54605
63	4563	54614
64	4600	54149
65	4683	54215
66	4768	54307
67	4811	53913
68	4878	53801
69	4948	53728
70	5004	53494
71	5064	53316
72	5110	53000
73	5168	52805
74	5211	52459
75	5258	52173
76	5298	51817
77	5340	51490
78	5388	51229
79	5461	51204
80	5508	50932
81	5549	50621
82	5593	50339
83	5634	50039
84	5675	49742
85	5724	49525
86	5787	49429
87	5829	49150
88	5873	48905
89	5921	48691
90	5969	48474
91	6094	48885
92	6183	48999
93	6221	48710
94	6256	48406
95	6291	48103
96	6382	48230
97	6461	48262
98	6564	48469
99	6648	48535
100	6741	48660
101	6806	48579
102	6851	48358
103	6897	48147
104	6935	47887
105	6987	47728
106	7027	47487
107	7072	47282
108	7115	47067
109	7159	46863
110	7204	46664
111	7243	46436
112	7297	46301
113	7349	46162
114	7394	45977
115	7431	45739
116	7521	45834
117	7622	45996
118	7667	45813
119	7699	45558
120	7738	45341
121	7809	45319
122	7871	45247
123	7908	45027
124	7958	44888
125	8035	44898
126	8080	44728
127	8118	44522
128	8158	44331
129	8225	44293
130	8312	44354
131	8350	44156
132	8385	43946
133	8420	43738
134	8460	43557
135	8505	43402
136	8543	43214
137	8576	43008
138	8645	42979
139	8679	42776
140	8777	42890
141	8854	42902
142	8905	42782
143	8940	42592
144	9007	42550
145	9056	42430
146	9097	42269
147	9165	42234
148	9202	42060
149	9238	41882
150	9283	41747
151	9324	41592
152	9375	41486
153	9443	41451
154	9505	41396
155	9550	41261
156	9595	41132
157	9635	40981
158	9675	40832
159	9714	40678
160	9759	40553
161	9801	40415
162	9836	40252
163	9876	40109
164	9960	40142
165	10015	40061
166	10095	40077
167	10135	39940
168	10177	39806
169	10214	39654
170	10295	39675
171	10392	39756
172	10490	39840
173	10608	39995
174	10703	40061
175	10800	40134
176	10906	40235
177	11004	40307
178	11065	40245
179	11122	40165
180	11231	40272
181	11349	40409
182	11436	40434
183	11488	40336
184	11556	40290
185	11593	40141
186	11632	39999
187	11674	39868
188	11714	39731
189	11811	39784
190	11889	39776
191	11929	39640
192	11968	39502
193	12066	39559
194	12152	39574
195	12187	39422
196	12276	39447
197	12351	39425
198	12400	39319
199	12485	39330
200	12523	39190
201	12563	39058
202	12604	38930
203	12644	38800
204	12685	38674
205	12742	38598
206	12775	38448
207	12812	38314
208	12848	38177
209	12883	38036
210	12918	37897
211	12971	37813
212	13009	37684
213	13050	37566
214	13087	37435
215	13154	37392
216	13270	37487
217	13335	37436
218	13418	37437
219	13497	37425
220	13583	37432
221	13688	37490
222	13760	37455
223	13826	37406
224	13879	37320
225	13917	37196
226	13948	37053
227	13992	36945
228	14037	36841
229	14082	36736
230	14148	36688
231	14188	36571
232	14224	36447
233	14259	36320
234	14302	36213
235	14349	36115
236	14394	36016
237	14433	35901
238	14479	35804
239	14534	35730
240	14604	35693
241	14668	35641
242	14739	35604
243	14781	35500
244	14818	35382
245	14856	35270
246	14895	35159
247	14960	35109
248	15023	35055
249	15068	34959
250	15112	34860
251	15175	34807
252	15277	34842
253	15365	34843
254	15417	34764
255	15529	34821
256	15596	34773
257	15642	34680
258	15685	34581
259	15724	34473
260	15759	34357
261	15818	34292
262	15885	34248
263	15954	34205
264	16033	34184
265	16108	34154
266	16189	34136
267	16228	34031
268	16270	33931
269	16307	33822
270	16347	33720
271	16389	33623
272	16452	33567
273	16554	33592
274	16591	33484
275	16632	33385
276	16694	33329
277	16773	33305
278	16839	33255
279	16931	33259
280	16972	33160
281	17016	33067
282	17123	33097
283	17214	33096
284	17269	33023
285	17356	33014
286	17387	32897
287	17422	32788
288	17471	32706
289	17539	32660
290	17580	32563
291	17620	32465
292	17653	32354
293	17689	32251
294	17742	32177
295	17784	32084
296	17826	31992
297	17864	31892
298	17906	31800
299	17946	31704
300	17996	31628
301	18079	31608
302	18149	31566
303	18212	31511
304	18275	31457
305	18379	31473
306	18507	31529
307	18604	31531
308	18664	31470
309	18706	31378
310	18752	31294
311	18793	31202
312	18849	31135
313	18921	31093
314	19010	31080
315	19131	31119
316	19177	31034
317	19215	30937
318	19253	30841
319	19292	30747
320	19333	30656
321	19369	30557
322	19405	30459
323	19441	30362
324	19500	30301
325	19560	30240
326	19600	30149
327	19636	30053
328	19673	29958
329	19712	29867
330	19749	29773
331	19786	29679
332	19844	29618
